Discount Notes Outstanding by Maturity as of 08/08/2025,,
Par Amount is in millions.,,
,,
CUSIP,Maturity Date,Amount
313589KG7,2025-08-11 00:00:00,780084000
313589KH5,2025-08-12 00:00:00,262369000
313589KJ1,2025-08-13 00:00:00,724612000
313589KK8,2025-08-14 00:00:00,247133000
313589KL6,2025-08-15 00:00:00,667597000
313589KP7,2025-08-18 00:00:00,716000000
313589KQ5,2025-08-19 00:00:00,220200000
313589KR3,2025-08-20 00:00:00,339200000
313589KS1,2025-08-21 00:00:00,500000
313589KT9,2025-08-22 00:00:00,315645000
313589KX0,2025-08-26 00:00:00,26338000
313589KY8,2025-08-27 00:00:00,457000000
313589LA9,2025-08-29 00:00:00,776000000
313589LE1,2025-09-02 00:00:00,157755000
313589LF8,2025-09-03 00:00:00,159775000
313589LG6,2025-09-04 00:00:00,2500000
313589LH4,2025-09-05 00:00:00,22250000
313589LL5,2025-09-08 00:00:00,355000000
313589LN1,2025-09-10 00:00:00,10850000
313589LP6,2025-09-11 00:00:00,45000000
313589LQ4,2025-09-12 00:00:00,621729000
313589LT8,2025-09-15 00:00:00,54850000
313589LU5,2025-09-16 00:00:00,11175000
313589LV3,2025-09-17 00:00:00,29500000
313589LX9,2025-09-19 00:00:00,235000000
313589MA8,2025-09-22 00:00:00,3000000
313589MB6,2025-09-23 00:00:00,18117000
313589MC4,2025-09-24 00:00:00,4000000
313589ME0,2025-09-26 00:00:00,104400000
313589MH3,2025-09-29 00:00:00,3000000
313589MJ9,2025-09-30 00:00:00,24560000
313589MK6,2025-10-01 00:00:00,579159000
313589ML4,2025-10-02 00:00:00,2131000
313589MR1,2025-10-07 00:00:00,6305000
313589MT7,2025-10-09 00:00:00,10000000
313589MY6,2025-10-14 00:00:00,10000000
313589NU3,2025-11-03 00:00:00,60000000
313589NW9,2025-11-05 00:00:00,10000000
313589NX7,2025-11-06 00:00:00,10000000
313589NY5,2025-11-07 00:00:00,25334000
313589PB3,2025-11-10 00:00:00,12000000
313589PD9,2025-11-12 00:00:00,10133000
313589PF4,2025-11-14 00:00:00,410000000
313589PJ6,2025-11-17 00:00:00,10500000
313589PK3,2025-11-18 00:00:00,10500000
313589PL1,2025-11-19 00:00:00,10000000
313589PM9,2025-11-20 00:00:00,10000000
313589PN7,2025-11-21 00:00:00,21206000
313589PT4,2025-11-26 00:00:00,500000
313589PV9,2025-11-28 00:00:00,32550000
313589RG0,2026-01-02 00:00:00,60000000
51,,8695457000
